ins_id,time,open_px,high_px,low_px,last_px,trade_qty,trade_mv,hold_qty,last_time
SHFE.CU2207,2022-05-31 22:52:00.000,71650,71680,71650,71680,254,91019650,139039,2022-05-31 22:52:59.500
SHFE.CU2207,2022-05-31 22:53:00.000,71690,71720,71680,71710,155,55572200,139056,2022-05-31 22:53:56.500
SHFE.CU2207,2022-05-31 22:54:00.000,71710,71710,71700,71700,79,28323050,139042,2022-05-31 22:54:59.000
SHFE.CU2207,2022-05-31 22:55:00.000,71700,71710,71670,71670,265,94993900,138912,2022-05-31 22:55:59.500
SHFE.CU2207,2022-05-31 22:56:00.000,71670,71680,71600,71600,544,194861550,138949,2022-05-31 22:56:59.500
SHFE.CU2207,2022-05-31 22:57:00.000,71600,71660,71600,71650,225,80576850,138957,2022-05-31 22:57:59.500
SHFE.CU2207,2022-05-31 22:58:00.000,71640,71650,71620,71640,101,36176150,138955,2022-05-31 22:58:58.500
SHFE.CU2207,2022-05-31 22:59:00.000,71630,71650,71630,71640,71,25432050,138968,2022-05-31 22:59:56.000
SHFE.CU2207,2022-05-31 23:00:00.000,71630,71680,71610,71670,202,72363700,138919,2022-05-31 23:00:59.500
SHFE.CU2207,2022-05-31 23:01:00.000,71670,71680,71670,71680,69,24729000,138898,2022-05-31 23:01:56.500
SHFE.CU2207,2022-05-31 23:02:00.000,71680,71680,71640,71660,80,28664400,138905,2022-05-31 23:02:56.500
SHFE.CU2207,2022-05-31 23:03:00.000,71650,71670,71640,71650,67,24002500,138909,2022-05-31 23:03:59.500
SHFE.CU2207,2022-05-31 23:04:00.000,71650,71660,71630,71660,67,23999950,138901,2022-05-31 23:04:56.500
SHFE.CU2207,2022-05-31 23:05:00.000,71660,71660,71640,71640,33,11821450,138913,2022-05-31 23:05:59.000
SHFE.CU2207,2022-05-31 23:06:00.000,71640,71660,71630,71650,63,22567850,138903,2022-05-31 23:06:59.500
SHFE.CU2207,2022-05-31 23:07:00.000,71650,71650,71560,71570,477,170768800,138830,2022-05-31 23:07:59.500
SHFE.CU2207,2022-05-31 23:08:00.000,71580,71590,71530,71560,458,163876350,138932,2022-05-31 23:08:59.500
SHFE.CU2207,2022-05-31 23:09:00.000,71560,71560,71500,71510,506,180959200,138837,2022-05-31 23:09:59.500
SHFE.CU2207,2022-05-31 23:10:00.000,71510,71560,71500,71550,358,128031450,138853,2022-05-31 23:10:59.500
SHFE.CU2207,2022-05-31 23:11:00.000,71550,71550,71510,71520,228,81538750,138835,2022-05-31 23:11:59.500
SHFE.CU2207,2022-05-31 23:12:00.000,71520,71540,71500,71540,319,114069200,138797,2022-05-31 23:12:59.500
SHFE.CU2207,2022-05-31 23:13:00.000,71530,71540,71510,71520,146,52212900,138771,2022-05-31 23:13:59.500
SHFE.CU2207,2022-05-31 23:14:00.000,71520,71520,71500,71520,154,55063500,138750,2022-05-31 23:14:59.500
SHFE.CU2207,2022-05-31 23:15:00.000,71510,71560,71500,71540,205,73307500,138659,2022-05-31 23:15:57.500
SHFE.CU2207,2022-05-31 23:16:00.000,71550,71570,71530,71530,78,27905550,138658,2022-05-31 23:16:59.500
SHFE.CU2207,2022-05-31 23:17:00.000,71530,71550,71520,71530,111,39700050,138618,2022-05-31 23:17:59.500
SHFE.CU2207,2022-05-31 23:18:00.000,71520,71530,71510,71530,79,28251000,138620,2022-05-31 23:18:59.500
SHFE.CU2207,2022-05-31 23:19:00.000,71540,71540,71460,71470,370,132257450,138619,2022-05-31 23:19:59.500
SHFE.CU2207,2022-05-31 23:20:00.000,71470,71500,71450,71490,397,141865300,138563,2022-05-31 23:20:58.500
SHFE.CU2207,2022-05-31 23:21:00.000,71480,71510,71470,71510,95,33957900,138575,2022-05-31 23:21:59.000
SHFE.CU2207,2022-05-31 23:22:00.000,71500,71510,71490,71490,90,32174550,138589,2022-05-31 23:22:59.000
SHFE.CU2207,2022-05-31 23:23:00.000,71510,71520,71490,71510,120,42902750,138559,2022-05-31 23:23:58.500
SHFE.CU2207,2022-05-31 23:24:00.000,71500,71500,71460,71480,236,84339950,138501,2022-05-31 23:24:59.500
SHFE.CU2207,2022-05-31 23:25:00.000,71470,71490,71460,71490,89,31806200,138494,2022-05-31 23:25:59.500
SHFE.CU2207,2022-05-31 23:26:00.000,71490,71500,71490,71500,248,88659800,138529,2022-05-31 23:26:59.500
SHFE.CU2207,2022-05-31 23:27:00.000,71500,71520,71480,71510,114,40754400,138511,2022-05-31 23:27:59.000
SHFE.CU2207,2022-05-31 23:28:00.000,71510,71530,71500,71520,69,24674350,138487,2022-05-31 23:28:57.500
SHFE.CU2207,2022-05-31 23:29:00.000,71510,71510,71490,71500,54,19306300,138472,2022-05-31 23:29:59.500
SHFE.CU2207,2022-05-31 23:30:00.000,71500,71520,71470,71510,121,43254950,138482,2022-05-31 23:30:59.500
SHFE.CU2207,2022-05-31 23:31:00.000,71510,71510,71510,71510,43,15374650,138476,2022-05-31 23:31:59.500
SHFE.CU2207,2022-05-31 23:32:00.000,71520,71540,71520,71520,84,30040500,138446,2022-05-31 23:32:59.500
SHFE.CU2207,2022-05-31 23:33:00.000,71510,71530,71490,71500,78,27887200,138447,2022-05-31 23:33:58.000
SHFE.CU2207,2022-05-31 23:34:00.000,71480,71490,71450,71470,102,36448750,138448,2022-05-31 23:34:59.500
SHFE.CU2207,2022-05-31 23:35:00.000,71470,71490,71450,71490,101,36089900,138470,2022-05-31 23:35:55.500
SHFE.CU2207,2022-05-31 23:36:00.000,71490,71530,71480,71530,85,30392900,138484,2022-05-31 23:36:59.500
SHFE.CU2207,2022-05-31 23:37:00.000,71520,71550,71490,71490,100,35761200,138504,2022-05-31 23:37:59.500
SHFE.CU2207,2022-05-31 23:38:00.000,71500,71510,71490,71490,29,10366850,138503,2022-05-31 23:38:59.500
SHFE.CU2207,2022-05-31 23:39:00.000,71490,71510,71470,71510,35,12511100,138501,2022-05-31 23:39:58.000
SHFE.CU2207,2022-05-31 23:40:00.000,71520,71520,71500,71500,32,11440450,138502,2022-05-31 23:40:58.500
SHFE.CU2207,2022-05-31 23:41:00.000,71510,71530,71510,71520,32,11443100,138517,2022-05-31 23:41:58.000
SHFE.CU2207,2022-05-31 23:42:00.000,71520,71530,71510,71530,45,16092450,138528,2022-05-31 23:42:59.000
SHFE.CU2207,2022-05-31 23:43:00.000,71540,71570,71540,71550,70,25045400,138497,2022-05-31 23:43:59.000
SHFE.CU2207,2022-05-31 23:44:00.000,71550,71560,71530,71540,78,27903150,138476,2022-05-31 23:44:57.000
SHFE.CU2207,2022-05-31 23:45:00.000,71540,71540,71520,71520,83,29685900,138422,2022-05-31 23:45:59.500
SHFE.CU2207,2022-05-31 23:46:00.000,71520,71570,71510,71550,145,51871200,138374,2022-05-31 23:46:59.000
SHFE.CU2207,2022-05-31 23:47:00.000,71550,71550,71520,71550,46,16453850,138376,2022-05-31 23:47:59.500
SHFE.CU2207,2022-05-31 23:48:00.000,71550,71550,71530,71540,57,20390200,138371,2022-05-31 23:48:58.500
SHFE.CU2207,2022-05-31 23:49:00.000,71540,71540,71520,71530,25,8940800,138363,2022-05-31 23:49:57.500
SHFE.CU2207,2022-05-31 23:50:00.000,71530,71540,71530,71530,66,23605750,138327,2022-05-31 23:50:58.500
SHFE.CU2207,2022-05-31 23:51:00.000,71540,71550,71530,71550,79,28258500,138290,2022-05-31 23:51:58.500
SHFE.CU2207,2022-05-31 23:52:00.000,71540,71550,71530,71550,21,7511700,138279,2022-05-31 23:52:59.500
SHFE.CU2207,2022-05-31 23:53:00.000,71540,71550,71540,71550,36,12878700,138273,2022-05-31 23:53:54.000
SHFE.CU2207,2022-05-31 23:54:00.000,71550,71590,71550,71590,129,46160950,138199,2022-05-31 23:54:59.000
SHFE.CU2207,2022-05-31 23:55:00.000,71590,71590,71580,71580,44,15749500,138177,2022-05-31 23:55:51.500
SHFE.CU2207,2022-05-31 23:56:00.000,71580,71600,71580,71600,32,11454950,138154,2022-05-31 23:56:58.500
SHFE.CU2207,2022-05-31 23:57:00.000,71590,71600,71580,71580,59,21118450,138144,2022-05-31 23:57:57.500
SHFE.CU2207,2022-05-31 23:58:00.000,71570,71610,71570,71610,72,25776200,138127,2022-05-31 23:58:57.500
SHFE.CU2207,2022-05-31 23:59:00.000,71610,71620,71590,71620,62,22197500,138090,2022-05-31 23:59:59.500
SHFE.CU2207,2022-06-01 00:00:00.000,71600,71600,71560,71570,62,22189400,138088,2022-06-01 00:00:59.500
SHFE.CU2207,2022-06-01 00:01:00.000,71560,71590,71560,71560,37,13241350,138076,2022-06-01 00:01:59.500
SHFE.CU2207,2022-06-01 00:02:00.000,71570,71570,71550,71550,22,7870950,138065,2022-06-01 00:02:59.500
SHFE.CU2207,2022-06-01 00:03:00.000,71550,71600,71550,71600,73,26123900,138048,2022-06-01 00:03:59.500
SHFE.CU2207,2022-06-01 00:04:00.000,71600,71600,71570,71580,44,15747950,138036,2022-06-01 00:04:59.500
SHFE.CU2207,2022-06-01 00:05:00.000,71580,71580,71550,71570,29,10377000,138030,2022-06-01 00:05:59.000
SHFE.CU2207,2022-06-01 00:06:00.000,71580,71600,71560,71600,15,5368400,138030,2022-06-01 00:06:59.500
SHFE.CU2207,2022-06-01 00:07:00.000,71600,71610,71570,71570,43,15391200,138053,2022-06-01 00:07:57.500
SHFE.CU2207,2022-06-01 00:08:00.000,71560,71560,71540,71540,22,7870500,138052,2022-06-01 00:08:58.500
SHFE.CU2207,2022-06-01 00:09:00.000,71550,71550,71550,71550,11,3935250,138046,2022-06-01 00:09:59.500
SHFE.CU2207,2022-06-01 00:10:00.000,71550,71560,71540,71560,18,6439800,138047,2022-06-01 00:10:56.500
SHFE.CU2207,2022-06-01 00:11:00.000,71570,71600,71570,71600,22,7873900,138035,2022-06-01 00:11:58.500
SHFE.CU2207,2022-06-01 00:12:00.000,71600,71600,71580,71580,42,15035300,138023,2022-06-01 00:12:59.000
SHFE.CU2207,2022-06-01 00:13:00.000,71570,71570,71560,71560,11,3936250,138015,2022-06-01 00:13:57.500
SHFE.CU2207,2022-06-01 00:14:00.000,71560,71560,71560,71560,11,3935800,138012,2022-06-01 00:14:53.500
SHFE.CU2207,2022-06-01 00:15:00.000,71560,71580,71560,71580,36,12882850,138001,2022-06-01 00:15:59.500
SHFE.CU2207,2022-06-01 00:16:00.000,71580,71580,71560,71560,17,6082800,137999,2022-06-01 00:16:59.500
SHFE.CU2207,2022-06-01 00:17:00.000,71560,71570,71550,71570,10,3578050,137999,2022-06-01 00:17:59.000
SHFE.CU2207,2022-06-01 00:18:00.000,71570,71570,71560,71560,6,2146900,137997,2022-06-01 00:18:57.000
SHFE.CU2207,2022-06-01 00:19:00.000,71560,71570,71560,71570,19,6799000,137997,2022-06-01 00:19:59.500
SHFE.CU2207,2022-06-01 00:20:00.000,71560,71580,71560,71580,20,7157050,137989,2022-06-01 00:20:51.500
SHFE.CU2207,2022-06-01 00:21:00.000,71570,71570,71570,71570,13,4652050,137987,2022-06-01 00:21:51.500
SHFE.CU2207,2022-06-01 00:22:00.000,71560,71560,71550,71560,88,31486350,137956,2022-06-01 00:22:59.500
SHFE.CU2207,2022-06-01 00:23:00.000,71560,71560,71550,71550,6,2146700,137958,2022-06-01 00:23:53.500
SHFE.CU2207,2022-06-01 00:24:00.000,71560,71560,71560,71560,4,1431200,137960,2022-06-01 00:24:52.500
SHFE.CU2207,2022-06-01 00:25:00.000,71560,71580,71560,71570,10,3578300,137958,2022-06-01 00:25:53.000
SHFE.CU2207,2022-06-01 00:26:00.000,71580,71580,71580,71580,5,1789500,137954,2022-06-01 00:26:58.500
SHFE.CU2207,2022-06-01 00:27:00.000,71590,71590,71590,71590,17,6085150,137956,2022-06-01 00:27:54.000
SHFE.CU2207,2022-06-01 00:28:00.000,71580,71580,71570,71570,12,4294700,137954,2022-06-01 00:28:55.500
SHFE.CU2207,2022-06-01 00:29:00.000,71590,71590,71560,71560,15,5367700,137959,2022-06-01 00:29:54.500
SHFE.CU2207,2022-06-01 00:30:00.000,71560,71560,71550,71550,4,1431050,137961,2022-06-01 00:30:59.500
SHFE.CU2207,2022-06-01 00:31:00.000,71560,71570,71560,71570,8,2862700,137959,2022-06-01 00:31:59.000
SHFE.CU2207,2022-06-01 00:32:00.000,71570,71570,71570,71570,12,4294200,137965,2022-06-01 00:32:52.500
SHFE.CU2207,2022-06-01 00:33:00.000,71570,71570,71570,71570,0,0,137965,2022-06-01 00:32:52.500
SHFE.CU2207,2022-06-01 00:34:00.000,71570,71580,71570,71580,22,7873300,137955,2022-06-01 00:34:56.500
SHFE.CU2207,2022-06-01 00:35:00.000,71590,71630,71580,71620,87,31150650,137964,2022-06-01 00:35:59.500
SHFE.CU2207,2022-06-01 00:36:00.000,71630,71630,71620,71620,37,13250550,137952,2022-06-01 00:36:56.500
SHFE.CU2207,2022-06-01 00:37:00.000,71620,71630,71610,71620,13,4655200,137953,2022-06-01 00:37:59.500
SHFE.CU2207,2022-06-01 00:38:00.000,71620,71640,71620,71640,27,9670200,137944,2022-06-01 00:38:59.500
SHFE.CU2207,2022-06-01 00:39:00.000,71640,71640,71620,71630,57,20414700,137959,2022-06-01 00:39:58.000
SHFE.CU2207,2022-06-01 00:40:00.000,71630,71640,71620,71620,78,27936900,137934,2022-06-01 00:40:59.000
SHFE.CU2207,2022-06-01 00:41:00.000,71600,71620,71600,71620,46,16469950,137954,2022-06-01 00:41:45.000
SHFE.CU2207,2022-06-01 00:42:00.000,71610,71610,71610,71610,15,5370900,137949,2022-06-01 00:42:54.000
SHFE.CU2207,2022-06-01 00:43:00.000,71610,71620,71610,71620,12,4296700,137951,2022-06-01 00:43:38.000
SHFE.CU2207,2022-06-01 00:44:00.000,71590,71610,71580,71590,27,9665100,137956,2022-06-01 00:44:48.000
